"X","Y"
-52.1546248,-32.0684485
-52.1517139,-32.065947
-52.1540889,-32.0719525
-52.1516935,-32.0719756
-52.1584221,-32.0601761
-52.1602507,-32.0565856
-52.1576976,-32.0616614
-52.1758558,-32.0728056
-52.1847878,-32.0758565
-52.1747964,-32.0741072
-52.181734,-32.0798198
-52.1607425,-32.0556421
-52.1596675,-32.0552767
-52.1585763,-32.0548565
-52.1588328,-32.0593741
-52.1577523,-32.0589564
-52.1555737,-32.058117
-52.165222,-32.0607095
-52.1765978,-32.0657529
-52.165651,-32.057314
-52.1869309,-32.0816284
-52.1873972,-32.0820354
-52.1736076,-32.063798
-52.1730711,-32.0645515
-52.1745338,-32.0644117
-52.1745338,-32.0644117
-52.186008,-32.0808059
-52.1763112,-32.0662985
-52.1693317,-32.0601341
-52.1488332,-32.0560699
-52.17495,-32.064687
-52.1741964,-32.0657098
-52.1405366,-32.0613512
-52.1753943,-32.0649635
-52.1753943,-32.0649635
-52.186468,-32.0812118
-52.1976841,-32.0824848
-52.1824163,-32.0706563
-52.1562345,-32.074451
-52.1965738,-32.0837845
-52.1555581,-32.0747654
-52.1981282,-32.0819727
-52.1787525,-32.070333
-52.1413493,-32.0586115
-52.197603,-32.0825784
-52.1446622,-32.0588051
-52.1569099,-32.0728363
-52.166316,-32.0575628
-52.160191,-32.0554616
-52.1608631,-32.0543838
-52.15683,-32.074178
-52.1856027,-32.0782086
-52.1860779,-32.0787518
-52.1866319,-32.0834908
-52.1853976,-32.0824868
-52.1853976,-32.0824868
-52.1580145,-32.0609885
-52.1568802,-32.0606572
-52.155724,-32.0603001
-52.1546191,-32.0599941
-52.1719246,-32.0653025
-52.1597657,-32.0575319
-52.1586895,-32.05711
-52.1575957,-32.0567151
-52.1565018,-32.056307
-52.1651728,-32.0592511
-52.149959,-32.0538087
-52.1593018,-32.0584447
-52.158233,-32.0580378
-52.1571153,-32.0576407
-52.1560343,-32.0572312
-52.173263,-32.0632121
-52.1426153,-32.0594812
-52.1907463,-32.0864685
-52.1461278,-32.0624526
-52.1554336,-32.0663396
-52.14694,-32.0538706
-52.1473344,-32.0530895
-52.1466085,-32.0545276
-52.1794665,-32.0707142
-52.1730711,-32.0645515
-52.1735469,-32.0648198
-52.1410043,-32.0620662
-52.1529844,-32.0754263
-52.1418455,-32.0598984
-52.176471,-32.0691623
-52.1850203,-32.0809137
-52.1695904,-32.0623751
-52.1691335,-32.0604521
-52.1843258,-32.078514
-52.1466286,-32.0619237
-52.1824163,-32.0706563
-52.1836535,-32.0712939
-52.1409908,-32.0608545
-52.1889479,-32.0873958
-52.1576717,-32.0675651
-52.1537567,-32.0541438
-52.1772926,-32.0696024
-52.1852357,-32.0796426
-52.184649,-32.0792475
-52.1840291,-32.07883
-52.1777162,-32.0669786
-52.1785946,-32.0673346
-52.1768616,-32.066606
-52.1630664,-32.0585857
-52.1638956,-32.0566398
-52.1634422,-32.0577196
-52.1630664,-32.0585857
-52.1488169,-32.0641915
-52.148999,-32.0647225
-52.155301,-32.0701149
-52.1533686,-32.0700555
-52.1570418,-32.0701543
-52.1778262,-32.0776495
-52.1788444,-32.0763376
-52.1798623,-32.0750039
-52.1808707,-32.0736827
-52.1778262,-32.0776495
-52.1449645,-32.0629603
-52.1833539,-32.0795492
-52.1833539,-32.0795492
-52.1716158,-32.0606534
-52.155556,-32.0707434
-52.1536257,-32.070722
-52.1569928,-32.0707594
-52.1716207,-32.0657618
-52.1828206,-32.0791131
-52.1837425,-32.0781067
-52.1846484,-32.0771177
-52.1968934,-32.0820165
-52.1977616,-32.0810239
-52.1948243,-32.0844053
-52.1558045,-32.0713558
